Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Nabiha,508 ,TEU,5207 ,3999 ,Palau,1996 ,1 ,J. J. Sietas,BIA Shipping
Container,Conger,508 ,TEU,5207 ,3999 ,Antigua & Barbuda,1995 ,10 ,J. J. Sietas,H. & H. Szidat
Container,Nor Feeder,508 ,TEU,5202 ,3999 ,Gibraltar,1998 ,3 ,J. J. Sietas,Arriva Shipping
Container,Ragna,508 ,TEU,5202 ,3999 ,Germany,1998 ,1 ,J. J. Sietas,Jurgen Ohle
Container,Black Rhino,364 ,TEU,5200 ,3838 ,Marshall Islands,1997 ,10 ,Yardimci Deniz,MACS M/time Carrier
Container,Alahmed,364 ,TEU,5200 ,3838 ,Saudi Arabia,1996 ,7 ,Yardimci Deniz,Baaboud Trading
Container,Bo Hai Wan,384 ,TEU,5177 ,4007 ,Peoples' Republic of China,1996 ,8 ,Chongqing Chuandong,Dalian Port
Container,Ji Hai Yang Shan,373 ,TEU,5161 ,3772 ,Peoples' Republic of China,1998 ,1 ,Huang. Yongming,SIPG
Container,Ji Hai Zhong Shan,360 ,TEU,5161 ,3772 ,Peoples' Republic of China,1998 ,1 ,Huang. Yongming,SIPG
Container,Fatima II,364 ,TEU,5151 ,3838 ,Indonesia,1997 ,1 ,Yardimci Deniz,Samasagung Tunggal
Container,Transatlantic,369 ,TEU,5129 ,4276 ,United States,1997 ,3 ,Wuhu Shipyard,Transatlantic Lines
Container,Eline Enterprise,364 ,TEU,5093 ,3838 ,Indonesia,1998 ,1 ,Yardimci Deniz,Unknown
Container,Phoenix,250 ,TEU,5065 ,2997 ,Indonesia,2008 ,7 ,Unknown Yard,Salam Pacific
Container,Shams,369 ,TEU,5055 ,4276 ,Sierra Leone,1997 ,10 ,CSC Jinling Shipyard,El Moez Maritime
Container,Icon Corintus,400 ,TEU,5000 ,4038 ,Indonesia,2015 ,2 ,Unknown Yard,Indo Container Lines
Container,Zhong Wai Yun Chang Jiang 001,303 ,TEU,5000 ,,Peoples' Republic of China,2011 ,7 ,CSC Zijinshan SY,Sinotrans & CSC
Container,Sete Cidades,375 ,TEU,4969 ,3979 ,Portugal,1999 ,12 ,ENVC,Transinsular
Container,Ilyas Konan,343 ,TEU,4963 ,3410 ,Turkey,1994 ,9 ,Yardimci Deniz,Temel Kum Cakil
Container,Orion,366 ,TEU,4923 ,2984 ,Netherlands,1998 ,1 ,Kroeger Werft,"Bischoff, Bruno"
Container,Global Nubira,320 ,TEU,4915 ,3809 ,South Korea,1998 ,2 ,Shina S.B.,Global Enterprise
Container,Jin Man Jiang,366 ,TEU,4906 ,2900 ,Peoples' Republic of China,1996 ,3 ,Kroeger Werft,Chongqing Shipping
Container,Bulgarie,366 ,TEU,4900 ,2900 ,Indonesia,1997 ,4 ,Kroeger Werft,Alkan Abadi
Container,Aron,333 ,TEU,4856 ,3410 ,Turkey,1995 ,5 ,Yardimci Deniz,Yardimci Shpg. Group
