Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Zim Tarragona,4250 ,TEU,50089 ,40542 ,Liberia,2010 ,8 ,Jiangsu New YZJ,Zim Integrated Shpg.
Container,YM Kaohsiung,4031 ,TEU,50059 ,40068 ,United Kingdom,1998 ,1 ,Halla Eng.,Zodiac Maritime Agy
Container,Al-Farahidi,3802 ,TEU,50004 ,48154 ,Bahrain,1998 ,7 ,Kawasaki HI Sakaide,United Arab Shpg.
Container,Xin Nan Tong,4051 ,TEU,49995 ,41482 ,Peoples' Republic of China,2003 ,12 ,Hudong Zhonghua,China Shipping Group
Container,Xin Yang Zhou,4051 ,TEU,49995 ,41482 ,Peoples' Republic of China,2004 ,3 ,Hudong Zhonghua,China Shipping Group
Container,Xin Su Zhou,4051 ,TEU,49995 ,41482 ,Peoples' Republic of China,2004 ,4 ,Hudong Zhonghua,China Shipping Group
Container,Deira,3802 ,TEU,49993 ,48154 ,Saudi Arabia,1998 ,9 ,Kawasaki HI Sakaide,United Arab Shpg.
Container,Sudair,3802 ,TEU,49993 ,48154 ,Saudi Arabia,1998 ,11 ,Kawasaki HI Sakaide,United Arab Shpg.
Container,Najran,3802 ,TEU,49993 ,48154 ,Saudi Arabia,1998 ,2 ,Kawasaki HI Sakaide,United Arab Shpg.
Container,COSCO Izmir,4253 ,TEU,49963 ,40447 ,Hong Kong,2013 ,8 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Ashdod,4253 ,TEU,49963 ,40447 ,Hong Kong,2013 ,8 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Surabaya,4253 ,TEU,49963 ,40447 ,Hong Kong,2013 ,9 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Aqaba,4253 ,TEU,49963 ,40447 ,Hong Kong,2013 ,9 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Jeddah,4253 ,TEU,49963 ,40447 ,Hong Kong,2012 ,10 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Santos,4253 ,TEU,49963 ,40447 ,Hong Kong,2013 ,3 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Piraeus,4253 ,TEU,49963 ,40447 ,Hong Kong,2013 ,3 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Sao Paulo,4253 ,TEU,49963 ,40447 ,Hong Kong,2013 ,4 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Wellington,4253 ,TEU,49963 ,40447 ,Hong Kong,2013 ,6 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Venice,4253 ,TEU,49963 ,40447 ,Hong Kong,2013 ,6 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Valencia,4253 ,TEU,49963 ,40447 ,Hong Kong,2013 ,5 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Auckland,4253 ,TEU,49963 ,40447 ,Hong Kong,2012 ,4 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Aden,4253 ,TEU,49963 ,40447 ,Hong Kong,2012 ,4 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Houston,4253 ,TEU,49963 ,40447 ,Hong Kong,2012 ,5 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Durban,4253 ,TEU,49963 ,40447 ,Hong Kong,2012 ,6 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Colombo,4253 ,TEU,49963 ,40447 ,Hong Kong,2012 ,6 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Fos,4253 ,TEU,49963 ,40447 ,Hong Kong,2012 ,7 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Genoa,4253 ,TEU,49963 ,40447 ,Hong Kong,2012 ,8 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Istanbul,4253 ,TEU,49963 ,40447 ,Hong Kong,2012 ,9 ,Jiangsu New YZJ,COSCO Group
Container,COSCO Haifa,4253 ,TEU,49949 ,40465 ,Hong Kong,2012 ,9 ,Jiangsu New YZJ,COSCO Group
Container,Asir,3802 ,TEU,49856 ,48154 ,Saudi Arabia,1998 ,6 ,Mitsui Shipbuilding,United Arab Shpg.
Container,Sabya,3802 ,TEU,49848 ,48154 ,Saudi Arabia,1998 ,3 ,Mitsui Shipbuilding,United Arab Shpg.
Container,Al Abdali,3802 ,TEU,49844 ,48154 ,Saudi Arabia,1998 ,9 ,Mitsui Shipbuilding,United Arab Shpg.
Container,Sakaka,3802 ,TEU,49844 ,48154 ,Saudi Arabia,1998 ,3 ,MHI Nagasaki,United Arab Shpg.
Container,Fowairet,3802 ,TEU,49844 ,48154 ,Saudi Arabia,1998 ,5 ,MHI Nagasaki,United Arab Shpg.
Container,Alrain,3802 ,TEU,49844 ,48154 ,Saudi Arabia,1998 ,11 ,MHI Nagasaki,United Arab Shpg.
Container,Bella Schulte,4250 ,TEU,49842 ,40542 ,Liberia,2011 ,12 ,Jiangsu New YZJ,Ownership
Container,Bodo Schulte,4250 ,TEU,49842 ,40542 ,Liberia,2011 ,11 ,Jiangsu New YZJ,Ownership
Container,Balthasar Schulte,4250 ,TEU,49842 ,40542 ,Liberia,2012 ,2 ,Jiangsu New YZJ,Thomas Schulte
Container,Argos,4250 ,TEU,49842 ,40542 ,Liberia,2012 ,2 ,Jiangsu New YZJ,Thomas Schulte
Container,MSC Patricia,3900 ,TEU,49308 ,40465 ,Liberia,1997 ,11 ,Daewoo (DSME),NSB Niederelbe
Container,Ville d'Aquarius,4113 ,TEU,49282 ,40465 ,Cyprus,1996 ,12 ,Daewoo (DSME),Global Ship Lease
Container,Rizhao Hong Yun,3961 ,TEU,49238 ,40268 ,Peoples' Republic of China,1997 ,10 ,Daewoo (DSME),Zhonggu Shpg
Container,MSC Natalia,3900 ,TEU,49238 ,40480 ,Liberia,1997 ,7 ,Daewoo (DSME),NSB Niederelbe
Container,Ri Zhao Sheng Shi,4113 ,TEU,49200 ,40268 ,Peoples' Republic of China,1997 ,12 ,Daewoo (DSME),Zhonggu Shpg
Container,MSC Itea,3842 ,TEU,48304 ,39582 ,Liberia,1998 ,6 ,Hyundai HI,Costamare Shipping
Container,MSC Koroni,3842 ,TEU,48244 ,39582 ,Liberia,1998 ,7 ,Hyundai HI,Costamare Shipping
Container,Hansa Australia,3649 ,TEU,48200 ,38388 ,Liberia,2014 ,7 ,Shanghai Shipyard,Leonhardt & Blumberg
Container,Marina,3029 ,TEU,47989 ,37209 ,Malta,1992 ,2 ,Howaldtswerke Werft,Costamare Shipping
Container,Toronto Express,4402 ,TEU,47828 ,55994 ,United Kingdom,2003 ,6 ,Daewoo (DSME),Hapag-Lloyd
Container,OOCL Montreal,4402 ,TEU,47828 ,55994 ,Hong Kong,2003 ,6 ,Daewoo (DSME),Orient Overseas Intl
Container,Montreal Express,4402 ,TEU,47828 ,55994 ,United Kingdom,2003 ,7 ,Daewoo (DSME),Hapag-Lloyd
Container,MSC Erminia,3500 ,TEU,47384 ,48237 ,Panama,1993 ,5 ,Shin Kurushima,MSC
