Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,MSC Caitlin,1658 ,TEU,14310 ,15500 ,Malta,1998 ,10 ,Howaldtswerke Werft,MSC
Container,MSC Adriana,1685 ,TEU,14310 ,15500 ,Malta,1998 ,11 ,Howaldtswerke Werft,MSC
Container,MSC Mia Summer,1658 ,TEU,14310 ,15500 ,Malta,1999 ,1 ,Howaldtswerke Werft,MSC
Container,MSC Asli,1384 ,TEU,14310 ,15500 ,Malta,2000 ,7 ,Jiangnan Shipyard,MSC
Container,MSC Lea,1384 ,TEU,14310 ,15500 ,Malta,2000 ,11 ,Jiangnan Shipyard,MSC
Container,E.R. Turku,1085 ,TEU,14236 ,12514 ,Liberia,2011 ,4 ,Nanjing Wujiazui,Blue Star Holding
Container,E.R. Visby,1085 ,TEU,14236 ,12514 ,Liberia,2012 ,5 ,Nanjing Wujiazui,Blue Star Holding
Container,E.R. Riga,1085 ,TEU,14236 ,12514 ,Liberia,2010 ,9 ,Nanjing Wujiazui,Blue Star Holding
Container,Istrian Express,1084 ,TEU,14233 ,12514 ,Gibraltar,2011 ,9 ,Nanjing Wujiazui,Vroon
Container,Italian Express,1084 ,TEU,14233 ,12514 ,Gibraltar,2012 ,1 ,Nanjing Wujiazui,Vroon
Container,E.R. Tallinn,1085 ,TEU,14230 ,12514 ,Liberia,2011 ,1 ,Nanjing Wujiazui,Blue Star Holding
Container,Sonderborg Strait,1085 ,TEU,14222 ,12514 ,Antigua & Barbuda,2012 ,11 ,Nanjing Wujiazui,Carsten Rehder
Container,Svendborg Strait,1085 ,TEU,14220 ,12514 ,Madeira,2011 ,8 ,Nanjing Wujiazui,Carsten Rehder
Container,Noble Breeze,1162 ,TEU,14191 ,10749 ,St. Vincent & Grenadines,1997 ,11 ,Stocz. Szczecin,FTN Shipping
Container,MTT Kinabalu,1162 ,TEU,14191 ,10733 ,Malaysia,1993 ,,Stocz. Szczecin,MTT Shipping
Container,Alessandra I,1033 ,TEU,14160 ,10615 ,Malta,1984 ,,Werft Nobiskrug,Transyug Shipping
