Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,NYK Altair,9300 ,TEU,99500 ,98800 ,Panama,2010 ,9 ,I.H.I.,Nippon Yusen Kaisha
Container,NYK Arcadia,9300 ,TEU,99500 ,98800 ,Panama,2011 ,2 ,I.H.I.,Nippon Yusen Kaisha
Container,Henry Hudson Bridge,8212 ,TEU,99214 ,98747 ,Panama,2008 ,9 ,I.H.I.,K-Line
Container,Hammersmith Bridge,8212 ,TEU,99214 ,98747 ,Panama,2009 ,2 ,I.H.I.,Shunzan Kaiun K.K.
Container,Hamburg Bridge,8212 ,TEU,99214 ,98747 ,Panama,2009 ,8 ,I.H.I.,K-Line
Container,Hong Kong Bridge,8212 ,TEU,99214 ,98747 ,Singapore,2009 ,9 ,I.H.I.,K-Line
Container,Hannover Bridge,8212 ,TEU,99214 ,98747 ,Panama,2006 ,9 ,I.H.I.,K-Line
Container,Humber Bridge,8212 ,TEU,99214 ,98747 ,Panama,2006 ,10 ,I.H.I.,K-Line
Container,Harbour Bridge,8212 ,TEU,99214 ,98747 ,Panama,2007 ,2 ,I.H.I.,K-Line
Container,Humen Bridge,8212 ,TEU,99214 ,98747 ,Panama,2007 ,3 ,I.H.I.,K-Line
Container,Honolulu Bridge,8614 ,TEU,99214 ,96790 ,Panama,2012 ,1 ,I.H.I.,K-Line
Container,Helsinki Bridge,8614 ,TEU,99214 ,96790 ,Panama,2012 ,4 ,I.H.I.,K-Line
Container,Hanoi Bridge,8614 ,TEU,99214 ,96790 ,Panama,2013 ,3 ,JMU Kure Shipyard,K-Line
Container,Hyundai Brave,8652 ,TEU,99052 ,94511 ,Panama,2008 ,1 ,Hyundai HI,Hyundai Group
Container,Hyundai Courage,8652 ,TEU,99052 ,94511 ,Panama,2008 ,2 ,Hyundai HI,Hyundai Group
Container,Hyundai Faith,8652 ,TEU,99052 ,94511 ,Panama,2008 ,3 ,Hyundai Samho HI,Hyundai Group
Container,Hyundai Force,8652 ,TEU,99052 ,94511 ,Panama,2008 ,3 ,Hyundai Samho HI,Hyundai Group
Container,Maersk Seville,8466 ,TEU,97552 ,93511 ,Liberia,2006 ,4 ,I.H.I.,Blue Star Holding
Container,Maersk Singapore,8466 ,TEU,97552 ,94724 ,Liberia,2007 ,8 ,I.H.I.,Blue Star Holding
Container,Maersk Sofia,8466 ,TEU,97550 ,94724 ,Luxembourg,2007 ,5 ,I.H.I.,Blue Star Holding
Container,Maersk Sheerness,8466 ,TEU,97536 ,94724 ,Luxembourg,2006 ,5 ,I.H.I.,Blue Star Holding
Container,Maersk Sana,8450 ,TEU,97517 ,94724 ,Liberia,2004 ,12 ,I.H.I.,Blue Star Holding
Container,Maersk Santana,8450 ,TEU,97517 ,94724 ,Liberia,2005 ,3 ,I.H.I.,Blue Star Holding
Container,Maersk Sarnia,8450 ,TEU,97517 ,94724 ,Liberia,2005 ,6 ,I.H.I.,Blue Star Holding
Container,Maersk Sydney,8450 ,TEU,97517 ,93511 ,Liberia,2005 ,9 ,I.H.I.,Blue Star Holding
Container,Houston Bridge,8930 ,TEU,96980 ,96801 ,Panama,2012 ,6 ,I.H.I.,K-Line
Container,Hangzhou Bay Bridge,8930 ,TEU,96980 ,96801 ,Panama,2012 ,12 ,I.H.I.,K-Line
Container,Hyundai Global,8566 ,TEU,95810 ,94511 ,United Kingdom,2009 ,4 ,Hyundai HI,Zodiac Maritime Agy
Container,Hyundai Loyalty,8566 ,TEU,95810 ,94511 ,Singapore,2009 ,2 ,Hyundai Samho HI,Eastern Pacific Shpg
Container,Hyundai Mercury,8566 ,TEU,95810 ,94511 ,Liberia,2009 ,2 ,Hyundai HI,Eastern Pacific Shpg
Container,Hyundai Splendor,8566 ,TEU,95810 ,94511 ,United Kingdom,2009 ,3 ,Hyundai Samho HI,Zodiac Maritime Agy
Container,Tolten,8073 ,TEU,94600 ,88586 ,Liberia,2012 ,6 ,Samsung HI,Hapag-Lloyd
Container,Tirua,8073 ,TEU,94600 ,88586 ,Liberia,2012 ,7 ,Samsung HI,Hapag-Lloyd
Container,Tucapel,8004 ,TEU,94526 ,88586 ,Liberia,2012 ,1 ,Samsung HI,Hapag-Lloyd
Container,Teno,8004 ,TEU,94526 ,88586 ,Liberia,2011 ,8 ,Samsung HI,Hapag-Lloyd
Container,Tubul,8004 ,TEU,94526 ,88586 ,Liberia,2011 ,9 ,Samsung HI,Hapag-Lloyd
Container,Tempanos,8004 ,TEU,94526 ,88586 ,Liberia,2011 ,11 ,Samsung HI,Hapag-Lloyd
Container,Torrente,8004 ,TEU,94526 ,88586 ,Liberia,2011 ,12 ,Samsung HI,Hapag-Lloyd
Container,Maersk Lins,8500 ,TEU,94112 ,89505 ,Hong Kong,2012 ,7 ,Daewoo (DSME),A.P. Moller
Container,Maersk Londrina,8500 ,TEU,93907 ,89505 ,Hong Kong,2012 ,9 ,Daewoo (DSME),A.P. Moller
Container,Maersk Lanco,8500 ,TEU,93907 ,89505 ,Hong Kong,2013 ,1 ,Daewoo (DSME),A.P. Moller
Container,Maersk Lamanai,8500 ,TEU,93907 ,89505 ,Hong Kong,2013 ,2 ,Daewoo (DSME),A.P. Moller
Container,Maersk Lota,8500 ,TEU,93907 ,89505 ,Singapore,2012 ,2 ,Daewoo (DSME),A.P. Moller
Container,Maersk Leon,8500 ,TEU,93907 ,89505 ,Singapore,2012 ,3 ,Daewoo (DSME),A.P. Moller
Container,Maersk Laberinto,8500 ,TEU,93907 ,89505 ,Hong Kong,2012 ,5 ,Daewoo (DSME),A.P. Moller
Container,APL Latvia,8102 ,TEU,90799 ,87865 ,Liberia,2013 ,2 ,Koyo Dock K.K.,Nissen Kaiun K.K.
Container,APL Antwerp,8100 ,TEU,90799 ,87865 ,Panama,2013 ,5 ,Koyo Dock K.K.,Nissen Kaiun K.K.
Container,MOL Competence,8110 ,TEU,90630 ,86692 ,Bahamas,2008 ,6 ,MHI Nagasaki,Mitsui O.S.K. Lines
Container,MOL Creation,8110 ,TEU,90630 ,86692 ,Bahamas,2007 ,7 ,MHI Nagasaki,Mitsui O.S.K. Lines
Container,MOL Charisma,8110 ,TEU,90630 ,86692 ,Bahamas,2007 ,9 ,MHI Nagasaki,Mitsui O.S.K. Lines
Container,MOL Celebration,8110 ,TEU,90630 ,86692 ,Bahamas,2008 ,2 ,MHI Nagasaki,Mitsui O.S.K. Lines
Container,MOL Courage,8110 ,TEU,90630 ,86692 ,Bahamas,2008 ,3 ,MHI Nagasaki,Mitsui O.S.K. Lines
Container,MOL Continuity,8110 ,TEU,90466 ,88089 ,Panama,2008 ,8 ,Koyo Dock K.K.,Imabari Shipbuilding
Container,MOL Cosmos,8110 ,TEU,90466 ,88089 ,Panama,2008 ,7 ,Koyo Dock K.K.,Imabari Shipbuilding
Container,Seroja Tiga,8110 ,TEU,90414 ,86679 ,Panama,2010 ,5 ,MHI Nagasaki,Nissen Kaiun K.K.
Container,Seroja Empat,8110 ,TEU,90414 ,86679 ,Panama,2010 ,8 ,MHI Nagasaki,Nissen Kaiun K.K.
Container,Seroja Lima,8110 ,TEU,90388 ,86682 ,Panama,2011 ,3 ,MHI Nagasaki,Tokei Kaiun Co.
Container,Seroja Enam,8110 ,TEU,90388 ,86682 ,Panama,2011 ,8 ,MHI Nagasaki,Nissen Kaiun K.K.
Container,MOL Commitment,8560 ,TEU,90000 ,87000 ,Marshall Islands,2013 ,6 ,MHI Nagasaki,Mitsui O.S.K. Lines
Container,MOL Contribution,8560 ,TEU,90000 ,87000 ,Marshall Islands,2014 ,3 ,MHI Nagasaki,Mitsui O.S.K. Lines
