Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Al Hilal,6921 ,TEU,85437 ,75579 ,Qatar,2008 ,9 ,Hyundai HI,United Arab Shpg.
Container,CMA CGM Corneille,6477 ,TEU,85408 ,73779 ,Liberia,2009 ,5 ,Hanjin HI (Yeongdo),CMA-CGM
Container,Northern Magnum,6750 ,TEU,85400 ,75590 ,Germany,2003 ,10 ,Daewoo (DSME),NVA Norddeutsche
Container,Northern Magnitude,6750 ,TEU,85400 ,75590 ,Germany,2003 ,12 ,Daewoo (DSME),NVA Norddeutsche
Container,Northern Majestic,6750 ,TEU,85400 ,75590 ,Germany,2004 ,2 ,Daewoo (DSME),NVA Norddeutsche
Container,Northern Monument,6750 ,TEU,85400 ,75590 ,Germany,2004 ,4 ,Daewoo (DSME),NVA Norddeutsche
Container,Al Rawdah,6921 ,TEU,85326 ,75579 ,Marshall Islands,2008 ,10 ,Hyundai HI,United Arab Shpg.
Container,MSC Melissa,6730 ,TEU,85250 ,73819 ,Panama,2002 ,1 ,Hyundai HI,MSC
Container,MSC Marianna,6730 ,TEU,85250 ,73819 ,Panama,2002 ,3 ,Hyundai HI,MSC
Container,MSC Barbara,6730 ,TEU,85250 ,73819 ,Panama,2002 ,5 ,Hyundai HI,MSC
Container,MSC Michaela,6730 ,TEU,85250 ,73819 ,Panama,2002 ,5 ,Hyundai HI,MSC
Container,MSC Loretta,6730 ,TEU,85250 ,73819 ,Panama,2002 ,7 ,Hyundai HI,MSC
Container,MSC Methoni,6724 ,TEU,85250 ,73819 ,Liberia,2003 ,6 ,Hyundai HI,Costamare Shipping
Container,Hyundai Singapore,6763 ,TEU,85250 ,74651 ,Cyprus,2006 ,10 ,Hyundai HI,Navios Group
Container,Kristina,6673 ,TEU,85000 ,71021 ,Marshall Islands,2013 ,3 ,Hyundai Samho HI,Technomar Shipping
Container,Safmarine Highveld,6673 ,TEU,85000 ,71021 ,Marshall Islands,2013 ,4 ,Hyundai Samho HI,Technomar Shipping
Container,MSC Alessia,6750 ,TEU,84920 ,75590 ,Germany,2001 ,11 ,Daewoo (DSME),NSB Niederelbe
Container,MSC Laura,6750 ,TEU,84920 ,75590 ,Panama,2002 ,1 ,Daewoo (DSME),MSC
Container,MSC Luisa,6750 ,TEU,84920 ,75590 ,Panama,2002 ,3 ,Daewoo (DSME),MSC
Container,Maersk Memphis,6188 ,TEU,84868 ,74642 ,United States,2007 ,1 ,Hanjin HI (Yeongdo),A.P. Moller
Container,Maersk Detroit,6696 ,TEU,84783 ,74642 ,United States,2008 ,5 ,Hanjin HI (Yeongdo),A.P. Moller
Container,Maersk Pittsburgh,6696 ,TEU,84783 ,74642 ,United States,2008 ,7 ,Hanjin HI (Yeongdo),A.P. Moller
Container,Maersk Denver,6200 ,TEU,84783 ,74642 ,United States,2007 ,8 ,Hanjin HI (Yeongdo),A.P. Moller
Container,Maersk Hartford,6200 ,TEU,84783 ,74642 ,United Kingdom,2007 ,9 ,Hanjin HI (Yeongdo),A.P. Moller
Container,Maersk Kensington,6200 ,TEU,84783 ,74642 ,United States,2008 ,1 ,Hanjin HI (Yeongdo),A.P. Moller
Container,Maersk Kinloss,6200 ,TEU,84783 ,74642 ,United States,2008 ,3 ,Hanjin HI (Yeongdo),A.P. Moller
Container,Maersk Chicago,6188 ,TEU,84775 ,74642 ,United States,2007 ,3 ,Hanjin HI (Yeongdo),A.P. Moller
Container,Maersk Columbus,6188 ,TEU,84704 ,74642 ,United States,2007 ,5 ,Hanjin HI (Yeongdo),A.P. Moller
Container,Kota Cahaya,6606 ,TEU,84700 ,76097 ,Singapore,2012 ,8 ,Dalian Shipbuilding,Pacific Intl Lines
Container,Kota Cantik,6606 ,TEU,84700 ,76097 ,Singapore,2012 ,9 ,Dalian Shipbuilding,Pacific Intl Lines
Container,Kota Cabar,6606 ,TEU,84700 ,76097 ,Singapore,2012 ,11 ,Dalian Shipbuilding,Pacific Intl Lines
Container,Kota Cempaka,6606 ,TEU,84700 ,76097 ,Singapore,2013 ,9 ,Dalian Shipbuilding,Pacific Intl Lines
Container,Kota Cepat,6606 ,TEU,84700 ,76097 ,Singapore,2013 ,11 ,Dalian Shipbuilding,Pacific Intl Lines
Container,Maersk Atlanta,6188 ,TEU,84676 ,74642 ,United States,2006 ,12 ,Hanjin HI (Yeongdo),A.P. Moller
Container,HS Paris,6552 ,TEU,84155 ,75015 ,Liberia,2012 ,12 ,Jiangsu Rongsheng,Hansa Treuhand
Container,HS Rome,6552 ,TEU,84154 ,75015 ,Liberia,2014 ,7 ,Jiangsu Rongsheng,Hansa Treuhand
