"","gid","gid","N","lon","lat"
"132","121.5783_31.3756","121.5783_31.3756",500,121.5783,31.3756
"133","121.5782_31.3756","121.5782_31.3756",102,121.5782,31.3756
"134","121.5783_31.3754","121.5783_31.3754",14,121.5783,31.3754
"135","121.5783_31.3755","121.5783_31.3755",80,121.5783,31.3755
"136","121.5844_31.3728","121.5844_31.3728",14,121.5844,31.3728
"137","121.5843_31.3729","121.5843_31.3729",72,121.5843,31.3729
"138","121.5845_31.3733","121.5845_31.3733",52,121.5845,31.3733
"139","121.584_31.3734","121.584_31.3734",523,121.584,31.3734
"140","121.5838_31.3735","121.5838_31.3735",568,121.5838,31.3735
"141","121.5837_31.3734","121.5837_31.3734",1202,121.5837,31.3734
"142","121.5754_31.3767","121.5754_31.3767",21,121.5754,31.3767
"143","121.5756_31.3768","121.5756_31.3768",831,121.5756,31.3768
"144","121.5755_31.3768","121.5755_31.3768",641,121.5755,31.3768
"145","121.5755_31.3769","121.5755_31.3769",717,121.5755,31.3769
"146","121.5758_31.3767","121.5758_31.3767",463,121.5758,31.3767
"147","121.5759_31.3765","121.5759_31.3765",111,121.5759,31.3765
"148","121.5754_31.3769","121.5754_31.3769",525,121.5754,31.3769
"149","121.5754_31.377","121.5754_31.377",161,121.5754,31.377
"150","121.5757_31.3767","121.5757_31.3767",701,121.5757,31.3767
"151","121.5756_31.3767","121.5756_31.3767",242,121.5756,31.3767
"152","121.5757_31.3768","121.5757_31.3768",769,121.5757,31.3768
"153","121.5753_31.3766","121.5753_31.3766",10,121.5753,31.3766
"154","121.5757_31.3771","121.5757_31.3771",11,121.5757,31.3771
"155","121.5756_31.3769","121.5756_31.3769",1170,121.5756,31.3769
"156","121.5871_31.372","121.5871_31.372",3412,121.5871,31.372
"157","121.5872_31.3719","121.5872_31.3719",1332,121.5872,31.3719
"158","121.5872_31.372","121.5872_31.372",523,121.5872,31.372
"159","121.5872_31.3721","121.5872_31.3721",137,121.5872,31.3721
"160","121.5873_31.3718","121.5873_31.3718",112,121.5873,31.3718
"161","121.5873_31.3719","121.5873_31.3719",426,121.5873,31.3719
"162","121.5875_31.3717","121.5875_31.3717",14,121.5875,31.3717
"163","121.5873_31.372","121.5873_31.372",456,121.5873,31.372
"164","121.5867_31.372","121.5867_31.372",63,121.5867,31.372
"165","121.5871_31.3721","121.5871_31.3721",1006,121.5871,31.3721
"166","121.5871_31.3718","121.5871_31.3718",245,121.5871,31.3718
"167","121.587_31.3721","121.587_31.3721",669,121.587,31.3721
"168","121.5872_31.3724","121.5872_31.3724",4,121.5872,31.3724
"169","121.5869_31.3722","121.5869_31.3722",165,121.5869,31.3722
"170","121.5762_31.3764","121.5762_31.3764",279,121.5762,31.3764
"171","121.5763_31.3764","121.5763_31.3764",687,121.5763,31.3764
"172","121.5763_31.3763","121.5763_31.3763",157,121.5763,31.3763
"173","121.5762_31.3763","121.5762_31.3763",45,121.5762,31.3763
"174","121.5762_31.3765","121.5762_31.3765",153,121.5762,31.3765
"175","121.5763_31.3765","121.5763_31.3765",226,121.5763,31.3765
"176","121.5764_31.3764","121.5764_31.3764",999,121.5764,31.3764
"177","121.5762_31.3767","121.5762_31.3767",299,121.5762,31.3767
"178","121.5758_31.3769","121.5758_31.3769",143,121.5758,31.3769
"179","121.576_31.3767","121.576_31.3767",654,121.576,31.3767
"180","121.576_31.3768","121.576_31.3768",39,121.576,31.3768
"181","121.5761_31.3766","121.5761_31.3766",596,121.5761,31.3766
"182","121.5765_31.3765","121.5765_31.3765",1374,121.5765,31.3765
"183","121.5764_31.3765","121.5764_31.3765",1452,121.5764,31.3765
"184","121.5764_31.3766","121.5764_31.3766",872,121.5764,31.3766
"185","121.5762_31.3766","121.5762_31.3766",648,121.5762,31.3766
"186","121.5763_31.3767","121.5763_31.3767",92,121.5763,31.3767
"187","121.5763_31.3766","121.5763_31.3766",332,121.5763,31.3766
"188","121.5762_31.3768","121.5762_31.3768",35,121.5762,31.3768
"189","121.5761_31.3763","121.5761_31.3763",22,121.5761,31.3763
"190","121.5761_31.3764","121.5761_31.3764",170,121.5761,31.3764
"191","121.5758_31.3765","121.5758_31.3765",84,121.5758,31.3765
"192","121.5759_31.3766","121.5759_31.3766",633,121.5759,31.3766
"193","121.5761_31.3765","121.5761_31.3765",109,121.5761,31.3765
"194","121.5766_31.3763","121.5766_31.3763",1098,121.5766,31.3763
"195","121.5765_31.3763","121.5765_31.3763",351,121.5765,31.3763
"196","121.5765_31.3762","121.5765_31.3762",91,121.5765,31.3762
"197","121.5764_31.3763","121.5764_31.3763",232,121.5764,31.3763
"198","121.5765_31.3764","121.5765_31.3764",1449,121.5765,31.3764
"199","121.5765_31.3761","121.5765_31.3761",35,121.5765,31.3761
"200","121.5764_31.3762","121.5764_31.3762",34,121.5764,31.3762
"201","121.5766_31.3762","121.5766_31.3762",201,121.5766,31.3762
"202","121.5761_31.3768","121.5761_31.3768",42,121.5761,31.3768
"203","121.586_31.3724","121.586_31.3724",1314,121.586,31.3724
"204","121.5861_31.3722","121.5861_31.3722",630,121.5861,31.3722
"205","121.586_31.3722","121.586_31.3722",142,121.586,31.3722
"206","121.5861_31.3723","121.5861_31.3723",977,121.5861,31.3723
"207","121.5862_31.3723","121.5862_31.3723",1463,121.5862,31.3723
"208","121.5859_31.3727","121.5859_31.3727",128,121.5859,31.3727
"209","121.5859_31.3724","121.5859_31.3724",878,121.5859,31.3724
"210","121.5733_31.3778","121.5733_31.3778",1546,121.5733,31.3778
"211","121.5729_31.3783","121.5729_31.3783",1,121.5729,31.3783
"212","121.5733_31.3773","121.5733_31.3773",13,121.5733,31.3773
"213","121.5821_31.374","121.5821_31.374",604,121.5821,31.374
"214","121.5821_31.3738","121.5821_31.3738",74,121.5821,31.3738
"215","121.5821_31.3745","121.5821_31.3745",2,121.5821,31.3745
"216","121.5821_31.3741","121.5821_31.3741",704,121.5821,31.3741
"217","121.5821_31.3739","121.5821_31.3739",68,121.5821,31.3739
"218","121.5822_31.374","121.5822_31.374",548,121.5822,31.374
"219","121.582_31.3739","121.582_31.3739",26,121.582,31.3739
"220","121.5817_31.374","121.5817_31.374",43,121.5817,31.374
"221","121.5817_31.3741","121.5817_31.3741",337,121.5817,31.3741
"222","121.5815_31.3742","121.5815_31.3742",194,121.5815,31.3742
"223","121.5816_31.3741","121.5816_31.3741",68,121.5816,31.3741
"224","121.5818_31.3742","121.5818_31.3742",421,121.5818,31.3742
"225","121.5816_31.3742","121.5816_31.3742",73,121.5816,31.3742
"226","121.5818_31.3741","121.5818_31.3741",207,121.5818,31.3741
"227","121.5815_31.3741","121.5815_31.3741",21,121.5815,31.3741
"228","121.5816_31.374","121.5816_31.374",96,121.5816,31.374
"229","121.5816_31.3733","121.5816_31.3733",1,121.5816,31.3733
"230","121.5818_31.374","121.5818_31.374",110,121.5818,31.374
"231","121.5817_31.3742","121.5817_31.3742",379,121.5817,31.3742
"232","121.5818_31.3737","121.5818_31.3737",1,121.5818,31.3737
"233","121.5819_31.3741","121.5819_31.3741",817,121.5819,31.3741
"234","121.5815_31.3743","121.5815_31.3743",198,121.5815,31.3743
"235","121.5819_31.374","121.5819_31.374",95,121.5819,31.374
"236","121.5814_31.3742","121.5814_31.3742",124,121.5814,31.3742
"237","121.5817_31.3739","121.5817_31.3739",3,121.5817,31.3739
"238","121.5819_31.3738","121.5819_31.3738",8,121.5819,31.3738
"239","121.574_31.3774","121.574_31.3774",1494,121.574,31.3774
"240","121.574_31.3775","121.574_31.3775",958,121.574,31.3775
"241","121.5741_31.3774","121.5741_31.3774",782,121.5741,31.3774
"242","121.5742_31.3774","121.5742_31.3774",619,121.5742,31.3774
"243","121.5742_31.3775","121.5742_31.3775",337,121.5742,31.3775
"244","121.5741_31.3775","121.5741_31.3775",605,121.5741,31.3775
"245","121.5741_31.3773","121.5741_31.3773",863,121.5741,31.3773
"246","121.5741_31.3777","121.5741_31.3777",56,121.5741,31.3777
"247","121.5741_31.3776","121.5741_31.3776",282,121.5741,31.3776
"248","121.5739_31.3775","121.5739_31.3775",2450,121.5739,31.3775
"249","121.5739_31.3776","121.5739_31.3776",4156,121.5739,31.3776
