"","gid","gid","N","lon","lat"
"20109","122.0393_29.8917","122.0393_29.8917",3,122.0393,29.8917
"20110","122.0396_29.8919","122.0396_29.8919",18,122.0396,29.8919
"20111","122.0722_30.6141","122.0722_30.6141",1,122.0722,30.6141
"20112","122.0738_30.6131","122.0738_30.6131",16,122.0738,30.6131
"20113","122.0516_29.8887","122.0516_29.8887",6,122.0516,29.8887
"20114","122.0585_30.6232","122.0585_30.6232",2,122.0585,30.6232
"20115","122.059_30.6241","122.059_30.6241",6,122.059,30.6241
"20116","122.059_30.624","122.059_30.624",6,122.059,30.624
"20117","122.0581_30.6235","122.0581_30.6235",1,122.0581,30.6235
"20118","122.0586_30.6234","122.0586_30.6234",6,122.0586,30.6234
"20119","122.0552_29.8886","122.0552_29.8886",5,122.0552,29.8886
"20120","122.0557_29.8883","122.0557_29.8883",2,122.0557,29.8883
"20121","122.0602_30.6232","122.0602_30.6232",7,122.0602,30.6232
"20122","121.2146_31.6495","121.2146_31.6495",1260,121.2146,31.6495
"20123","121.2148_31.6495","121.2148_31.6495",227,121.2148,31.6495
"20124","121.2148_31.6496","121.2148_31.6496",30,121.2148,31.6496
"20125","121.2146_31.6496","121.2146_31.6496",120,121.2146,31.6496
"20126","121.2148_31.6493","121.2148_31.6493",14,121.2148,31.6493
"20127","121.2146_31.6498","121.2146_31.6498",9,121.2146,31.6498
"20128","121.2145_31.6498","121.2145_31.6498",8,121.2145,31.6498
"20129","121.2148_31.6498","121.2148_31.6498",2,121.2148,31.6498
"20130","121.2136_31.65","121.2136_31.65",3,121.2136,31.65
"20131","121.2149_31.6495","121.2149_31.6495",5,121.2149,31.6495
"20132","121.2146_31.6493","121.2146_31.6493",26,121.2146,31.6493
"20133","121.2149_31.6491","121.2149_31.6491",2,121.2149,31.6491
"20134","121.2291_31.6385","121.2291_31.6385",477,121.2291,31.6385
"20135","121.2291_31.6386","121.2291_31.6386",83,121.2291,31.6386
"20136","121.2293_31.6388","121.2293_31.6388",21,121.2293,31.6388
"20137","121.2291_31.6383","121.2291_31.6383",58,121.2291,31.6383
"20138","121.2289_31.6383","121.2289_31.6383",3,121.2289,31.6383
"20139","121.2293_31.6383","121.2293_31.6383",363,121.2293,31.6383
"20140","121.2289_31.6385","121.2289_31.6385",31,121.2289,31.6385
"20141","121.2289_31.6381","121.2289_31.6381",1,121.2289,31.6381
"20142","121.2291_31.6388","121.2291_31.6388",2,121.2291,31.6388
"20143","121.2295_31.6388","121.2295_31.6388",7,121.2295,31.6388
"20144","121.2171_31.6476","121.2171_31.6476",168,121.2171,31.6476
"20145","121.2171_31.6478","121.2171_31.6478",137,121.2171,31.6478
"20146","121.2173_31.6478","121.2173_31.6478",49,121.2173,31.6478
"20147","121.217_31.6481","121.217_31.6481",471,121.217,31.6481
"20148","121.2171_31.648","121.2171_31.648",87,121.2171,31.648
"20149","121.2173_31.6476","121.2173_31.6476",40,121.2173,31.6476
"20150","121.2174_31.6478","121.2174_31.6478",25,121.2174,31.6478
"20151","121.217_31.648","121.217_31.648",48,121.217,31.648
"20152","121.217_31.6476","121.217_31.6476",7,121.217,31.6476
"20153","121.217_31.6474","121.217_31.6474",2,121.217,31.6474
"20154","121.2168_31.648","121.2168_31.648",71,121.2168,31.648
"20155","121.2168_31.6476","121.2168_31.6476",2,121.2168,31.6476
"20156","121.217_31.6478","121.217_31.6478",9,121.217,31.6478
"20157","121.2173_31.6474","121.2173_31.6474",1,121.2173,31.6474
"20158","121.2171_31.6481","121.2171_31.6481",27,121.2171,31.6481
"20159","121.2171_31.6474","121.2171_31.6474",2,121.2171,31.6474
"20160","121.2321_31.636","121.2321_31.636",153,121.2321,31.636
"20161","121.2322_31.636","121.2322_31.636",208,121.2322,31.636
"20162","121.2321_31.6359","121.2321_31.6359",553,121.2321,31.6359
"20163","121.2322_31.6358","121.2322_31.6358",266,121.2322,31.6358
"20164","121.2323_31.6359","121.2323_31.6359",161,121.2323,31.6359
"20165","121.2321_31.6358","121.2321_31.6358",181,121.2321,31.6358
"20166","121.2324_31.6359","121.2324_31.6359",17,121.2324,31.6359
"20167","121.2323_31.636","121.2323_31.636",34,121.2323,31.636
"20168","121.2325_31.636","121.2325_31.636",1,121.2325,31.636
"20169","121.2324_31.636","121.2324_31.636",9,121.2324,31.636
"20170","121.2323_31.6361","121.2323_31.6361",12,121.2323,31.6361
"20171","121.232_31.636","121.232_31.636",27,121.232,31.636
"20172","121.2327_31.6356","121.2327_31.6356",1,121.2327,31.6356
"20173","121.2322_31.6361","121.2322_31.6361",34,121.2322,31.6361
"20174","121.2292_31.6384","121.2292_31.6384",257,121.2292,31.6384
"20175","121.2291_31.6384","121.2291_31.6384",25,121.2291,31.6384
"20176","121.4667_31.1207","121.4667_31.1207",2,121.4667,31.1207
"20177","121.4675_31.124","121.4675_31.124",6,121.4675,31.124
"20178","121.4674_31.124","121.4674_31.124",7,121.4674,31.124
"20179","121.4676_31.1239","121.4676_31.1239",1,121.4676,31.1239
"20180","121.4676_31.1237","121.4676_31.1237",3,121.4676,31.1237
"20181","121.4675_31.1237","121.4675_31.1237",57,121.4675,31.1237
"20182","121.4674_31.1237","121.4674_31.1237",45,121.4674,31.1237
"20183","121.4672_31.124","121.4672_31.124",1,121.4672,31.124
"20184","121.4677_31.1236","121.4677_31.1236",2,121.4677,31.1236
"20185","121.4673_31.1238","121.4673_31.1238",29,121.4673,31.1238
"20186","121.4663_31.1292","121.4663_31.1292",16,121.4663,31.1292
"20187","121.4661_31.1293","121.4661_31.1293",6,121.4661,31.1293
"20188","121.4663_31.1293","121.4663_31.1293",27,121.4663,31.1293
"20189","121.4662_31.1293","121.4662_31.1293",396,121.4662,31.1293
"20190","121.4663_31.1291","121.4663_31.1291",1,121.4663,31.1291
"20191","121.4664_31.1293","121.4664_31.1293",42,121.4664,31.1293
"20192","121.4658_31.1293","121.4658_31.1293",1,121.4658,31.1293
"20193","121.4662_31.1292","121.4662_31.1292",53,121.4662,31.1292
"20194","121.4661_31.1292","121.4661_31.1292",15,121.4661,31.1292
"20195","121.4663_31.1294","121.4663_31.1294",8,121.4663,31.1294
"20196","121.4664_31.1294","121.4664_31.1294",483,121.4664,31.1294
"20197","121.466_31.1292","121.466_31.1292",1,121.466,31.1292
"20198","121.4662_31.1294","121.4662_31.1294",3,121.4662,31.1294
"20199","121.229_31.6386","121.229_31.6386",11,121.229,31.6386
"20200","121.2296_31.6383","121.2296_31.6383",153,121.2296,31.6383
"20201","121.229_31.6385","121.229_31.6385",15,121.229,31.6385
"20202","121.2292_31.6383","121.2292_31.6383",31,121.2292,31.6383
"20203","121.2147_31.6493","121.2147_31.6493",22,121.2147,31.6493
"20204","121.2148_31.6494","121.2148_31.6494",52,121.2148,31.6494
"20205","121.2147_31.6494","121.2147_31.6494",220,121.2147,31.6494
"20206","121.215_31.6496","121.215_31.6496",1,121.215,31.6496
"20207","121.2147_31.6495","121.2147_31.6495",331,121.2147,31.6495
"20208","121.2145_31.6493","121.2145_31.6493",5,121.2145,31.6493
"20209","121.2146_31.6494","121.2146_31.6494",63,121.2146,31.6494
"20210","121.2145_31.6494","121.2145_31.6494",5,121.2145,31.6494
"20211","121.2149_31.6494","121.2149_31.6494",3,121.2149,31.6494
"20212","121.2141_31.6494","121.2141_31.6494",1,121.2141,31.6494
"20213","121.214_31.6493","121.214_31.6493",1,121.214,31.6493
"20214","121.2152_31.6497","121.2152_31.6497",1,121.2152,31.6497
"20215","121.2148_31.6497","121.2148_31.6497",9,121.2148,31.6497
"20216","121.2305_31.637","121.2305_31.637",1,121.2305,31.637
"20217","121.2307_31.637","121.2307_31.637",3,121.2307,31.637
"20218","121.2304_31.6372","121.2304_31.6372",8,121.2304,31.6372
"20219","121.2303_31.6374","121.2303_31.6374",22,121.2303,31.6374
"20220","121.2303_31.6369","121.2303_31.6369",4,121.2303,31.6369
"20221","121.2306_31.6369","121.2306_31.6369",5,121.2306,31.6369
"20222","121.23_31.6383","121.23_31.6383",4,121.23,31.6383
"20223","121.2298_31.638","121.2298_31.638",859,121.2298,31.638
"20224","121.2298_31.6381","121.2298_31.6381",523,121.2298,31.6381
"20225","121.2295_31.6381","121.2295_31.6381",2,121.2295,31.6381
"20226","121.229_31.6384","121.229_31.6384",3,121.229,31.6384
"20227","121.229_31.6387","121.229_31.6387",3,121.229,31.6387
"20228","121.2292_31.6388","121.2292_31.6388",12,121.2292,31.6388
"20229","121.2294_31.6388","121.2294_31.6388",17,121.2294,31.6388
"20230","121.2289_31.6386","121.2289_31.6386",4,121.2289,31.6386
"20231","121.2301_31.6371","121.2301_31.6371",1,121.2301,31.6371
"20232","121.2141_31.6498","121.2141_31.6498",6,121.2141,31.6498
"20233","121.2142_31.6497","121.2142_31.6497",39,121.2142,31.6497
"20234","121.2143_31.6497","121.2143_31.6497",3,121.2143,31.6497
"20235","121.2139_31.6497","121.2139_31.6497",7,121.2139,31.6497
"20236","121.2296_31.6381","121.2296_31.6381",7,121.2296,31.6381
"20237","121.2303_31.6371","121.2303_31.6371",3,121.2303,31.6371
"20238","121.2304_31.6369","121.2304_31.6369",1,121.2304,31.6369
"20239","121.2284_31.6373","121.2284_31.6373",3,121.2284,31.6373
"20240","121.2294_31.6389","121.2294_31.6389",2,121.2294,31.6389
"20241","121.2293_31.6382","121.2293_31.6382",7,121.2293,31.6382
"20242","121.2291_31.6381","121.2291_31.6381",2,121.2291,31.6381
"20243","121.2299_31.6381","121.2299_31.6381",389,121.2299,31.6381
"20244","121.2291_31.6382","121.2291_31.6382",1,121.2291,31.6382
"20245","121.2299_31.6382","121.2299_31.6382",34,121.2299,31.6382
"20246","121.2297_31.638","121.2297_31.638",27,121.2297,31.638
"20247","121.2297_31.6379","121.2297_31.6379",5,121.2297,31.6379
"20248","121.2529_31.6521","121.2529_31.6521",2,121.2529,31.6521
"20249","121.253_31.6521","121.253_31.6521",2,121.253,31.6521
"20250","121.253_31.652","121.253_31.652",4,121.253,31.652
"20251","121.2532_31.6516","121.2532_31.6516",2,121.2532,31.6516
"20252","121.2533_31.6513","121.2533_31.6513",1,121.2533,31.6513
"20253","121.2533_31.6512","121.2533_31.6512",2,121.2533,31.6512
"20254","121.2533_31.6511","121.2533_31.6511",3,121.2533,31.6511
"20255","121.2534_31.6511","121.2534_31.6511",2,121.2534,31.6511
"20256","121.2533_31.651","121.2533_31.651",2,121.2533,31.651
"20257","121.2535_31.6502","121.2535_31.6502",9,121.2535,31.6502
"20258","121.2534_31.6501","121.2534_31.6501",2,121.2534,31.6501
"20259","121.2133_31.6505","121.2133_31.6505",1660,121.2133,31.6505
"20260","121.2134_31.6504","121.2134_31.6504",172,121.2134,31.6504
"20261","121.2133_31.6504","121.2133_31.6504",369,121.2133,31.6504
"20262","121.2134_31.6505","121.2134_31.6505",157,121.2134,31.6505
"20263","121.2132_31.6505","121.2132_31.6505",149,121.2132,31.6505
"20264","121.2134_31.6507","121.2134_31.6507",9,121.2134,31.6507
"20265","121.2131_31.6503","121.2131_31.6503",14,121.2131,31.6503
"20266","121.2134_31.6503","121.2134_31.6503",9,121.2134,31.6503
"20267","121.2133_31.6502","121.2133_31.6502",4,121.2133,31.6502
"20268","121.2132_31.6503","121.2132_31.6503",9,121.2132,31.6503
"20269","121.2132_31.6506","121.2132_31.6506",104,121.2132,31.6506
"20270","121.2137_31.6508","121.2137_31.6508",1,121.2137,31.6508
"20271","121.2136_31.6506","121.2136_31.6506",1,121.2136,31.6506
"20272","121.2135_31.6504","121.2135_31.6504",15,121.2135,31.6504
"20273","121.2132_31.6502","121.2132_31.6502",2,121.2132,31.6502
"20274","121.2134_31.6502","121.2134_31.6502",8,121.2134,31.6502
"20275","121.2133_31.6501","121.2133_31.6501",3,121.2133,31.6501
"20276","121.2133_31.6503","121.2133_31.6503",102,121.2133,31.6503
"20277","121.2135_31.6505","121.2135_31.6505",7,121.2135,31.6505
"20278","121.2132_31.6504","121.2132_31.6504",66,121.2132,31.6504
"20279","121.2135_31.6503","121.2135_31.6503",13,121.2135,31.6503
"20280","121.2134_31.65","121.2134_31.65",3,121.2134,31.65
"20281","121.213_31.6503","121.213_31.6503",2,121.213,31.6503
"20282","121.2134_31.6499","121.2134_31.6499",1,121.2134,31.6499
"20283","121.2133_31.6506","121.2133_31.6506",266,121.2133,31.6506
"20284","121.2131_31.6506","121.2131_31.6506",43,121.2131,31.6506
"20285","121.2131_31.6507","121.2131_31.6507",10,121.2131,31.6507
"20286","121.2131_31.6504","121.2131_31.6504",31,121.2131,31.6504
"20287","121.213_31.6504","121.213_31.6504",4,121.213,31.6504
"20288","121.213_31.6505","121.213_31.6505",11,121.213,31.6505
"20289","121.2129_31.6504","121.2129_31.6504",6,121.2129,31.6504
"20290","121.2129_31.6505","121.2129_31.6505",2,121.2129,31.6505
"20291","121.2131_31.6505","121.2131_31.6505",78,121.2131,31.6505
"20292","121.2134_31.6506","121.2134_31.6506",75,121.2134,31.6506
"20293","120.657_31.9904","120.657_31.9904",563,120.657,31.9904
"20294","120.6571_31.9904","120.6571_31.9904",132,120.6571,31.9904
"20295","120.657_31.9903","120.657_31.9903",443,120.657,31.9903
"20296","120.6569_31.9904","120.6569_31.9904",35,120.6569,31.9904
"20297","120.6569_31.9905","120.6569_31.9905",22,120.6569,31.9905
"20298","120.657_31.9905","120.657_31.9905",32,120.657,31.9905
"20299","120.6571_31.9903","120.6571_31.9903",77,120.6571,31.9903
"20300","120.6569_31.9903","120.6569_31.9903",11,120.6569,31.9903
"20301","120.6571_31.9902","120.6571_31.9902",4,120.6571,31.9902
"20302","120.657_31.9902","120.657_31.9902",5,120.657,31.9902
"20303","120.6569_31.9902","120.6569_31.9902",1,120.6569,31.9902
"20304","120.6571_31.9905","120.6571_31.9905",27,120.6571,31.9905
"20305","120.6567_31.9902","120.6567_31.9902",1,120.6567,31.9902
"20306","121.3744_31.501","121.3744_31.501",144,121.3744,31.501
"20307","121.3745_31.5009","121.3745_31.5009",44,121.3745,31.5009
"20308","121.3745_31.501","121.3745_31.501",62,121.3745,31.501
"20309","121.3744_31.5011","121.3744_31.5011",132,121.3744,31.5011
"20310","121.3745_31.5011","121.3745_31.5011",39,121.3745,31.5011
"20311","121.3743_31.501","121.3743_31.501",8,121.3743,31.501
"20312","121.3743_31.5011","121.3743_31.5011",7,121.3743,31.5011
"20313","121.3746_31.501","121.3746_31.501",112,121.3746,31.501
"20314","121.3745_31.5012","121.3745_31.5012",9,121.3745,31.5012
"20315","121.3744_31.5009","121.3744_31.5009",17,121.3744,31.5009
"20316","121.3744_31.5012","121.3744_31.5012",9,121.3744,31.5012
"20317","121.3743_31.5009","121.3743_31.5009",6,121.3743,31.5009
"20318","121.3791_31.4986","121.3791_31.4986",76,121.3791,31.4986
"20319","121.3791_31.4985","121.3791_31.4985",3,121.3791,31.4985
"20320","121.3791_31.4987","121.3791_31.4987",46,121.3791,31.4987
"20321","121.379_31.4986","121.379_31.4986",15,121.379,31.4986
"20322","121.379_31.4985","121.379_31.4985",4,121.379,31.4985
"20323","121.3792_31.4987","121.3792_31.4987",2,121.3792,31.4987
"20324","121.379_31.4988","121.379_31.4988",2,121.379,31.4988
"20325","121.379_31.4987","121.379_31.4987",18,121.379,31.4987
"20326","121.3791_31.4988","121.3791_31.4988",3,121.3791,31.4988
"20327","121.3789_31.4987","121.3789_31.4987",1,121.3789,31.4987
"20328","121.379_31.4984","121.379_31.4984",1,121.379,31.4984
"20329","122.0853_30.6064","122.0853_30.6064",21,122.0853,30.6064
"20330","122.0851_30.6064","122.0851_30.6064",79,122.0851,30.6064
"20331","122.0852_30.606","122.0852_30.606",11,122.0852,30.606
"20332","122.0849_30.6061","122.0849_30.6061",1,122.0849,30.6061
"20333","122.0851_30.6059","122.0851_30.6059",3,122.0851,30.6059
"20334","122.0851_30.6061","122.0851_30.6061",3,122.0851,30.6061
"20335","122.0851_30.6063","122.0851_30.6063",14,122.0851,30.6063
"20336","122.0856_30.6056","122.0856_30.6056",6,122.0856,30.6056
"20337","122.0853_30.6059","122.0853_30.6059",3,122.0853,30.6059
"20338","121.84_29.944","121.84_29.944",13,121.84,29.944
"20339","122.0707_30.6161","122.0707_30.6161",2,122.0707,30.6161
"20340","122.0708_30.6161","122.0708_30.6161",6,122.0708,30.6161
"20341","122.0706_30.6159","122.0706_30.6159",12,122.0706,30.6159
"20342","121.9304_29.937","121.9304_29.937",1,121.9304,29.937
"20343","121.9303_29.937","121.9303_29.937",2,121.9303,29.937
"20344","122.0836_30.6079","122.0836_30.6079",1,122.0836,30.6079
"20345","122.0843_30.6072","122.0843_30.6072",4,122.0843,30.6072
"20346","122.0836_30.6069","122.0836_30.6069",1,122.0836,30.6069
"20347","122.0836_30.607","122.0836_30.607",2,122.0836,30.607
"20348","121.9271_29.9366","121.9271_29.9366",1,121.9271,29.9366
"20349","121.926_29.9353","121.926_29.9353",2,121.926,29.9353
"20350","121.9265_29.9346","121.9265_29.9346",1,121.9265,29.9346
"20351","121.926_29.9356","121.926_29.9356",1,121.926,29.9356
"20352","121.9271_29.9351","121.9271_29.9351",1,121.9271,29.9351
"20353","122.1591_29.8017","122.1591_29.8017",18,122.1591,29.8017
"20354","122.1592_29.8017","122.1592_29.8017",5,122.1592,29.8017
"20355","122.1592_29.8018","122.1592_29.8018",6,122.1592,29.8018
"20356","122.1589_29.8023","122.1589_29.8023",34,122.1589,29.8023
"20357","122.1589_29.8022","122.1589_29.8022",1,122.1589,29.8022
"20358","122.1587_29.8019","122.1587_29.8019",2,122.1587,29.8019
"20359","122.0868_30.6057","122.0868_30.6057",3,122.0868,30.6057
"20360","122.0709_30.6159","122.0709_30.6159",1,122.0709,30.6159
"20361","122.0702_30.6148","122.0702_30.6148",1,122.0702,30.6148
"20362","121.9259_29.9365","121.9259_29.9365",1,121.9259,29.9365
"20363","122.07_30.6165","122.07_30.6165",2,122.07,30.6165
"20364","122.0707_30.6159","122.0707_30.6159",8,122.0707,30.6159
"20365","121.9317_29.9384","121.9317_29.9384",6,121.9317,29.9384
"20366","121.9317_29.9386","121.9317_29.9386",2,121.9317,29.9386
"20367","121.9315_29.939","121.9315_29.939",1,121.9315,29.939
"20368","121.9325_29.9382","121.9325_29.9382",1,121.9325,29.9382
"20369","121.9321_29.938","121.9321_29.938",4,121.9321,29.938
"20370","121.9331_29.9364","121.9331_29.9364",2,121.9331,29.9364
"20371","121.5778_31.3789","121.5778_31.3789",1,121.5778,31.3789
"20372","121.5776_31.3794","121.5776_31.3794",1,121.5776,31.3794
"20373","121.5806_31.3753","121.5806_31.3753",6,121.5806,31.3753
"20374","121.933_29.9395","121.933_29.9395",2,121.933,29.9395
"20375","121.934_29.9387","121.934_29.9387",2,121.934,29.9387
"20376","121.9329_29.9385","121.9329_29.9385",1,121.9329,29.9385
"20377","121.9333_29.9385","121.9333_29.9385",1,121.9333,29.9385
"20378","121.5822_31.3744","121.5822_31.3744",1,121.5822,31.3744
"20379","121.5823_31.3735","121.5823_31.3735",2,121.5823,31.3735
"20380","121.9298_29.9369","121.9298_29.9369",13,121.9298,29.9369
"20381","121.9325_29.9393","121.9325_29.9393",2,121.9325,29.9393
"20382","121.9324_29.9383","121.9324_29.9383",6,121.9324,29.9383
"20383","121.574_31.3764","121.574_31.3764",1,121.574,31.3764
"20384","121.574_31.3763","121.574_31.3763",1,121.574,31.3763
"20385","122.2537_29.9401","122.2537_29.9401",56,122.2537,29.9401
"20386","122.2551_29.9403","122.2551_29.9403",2861,122.2551,29.9403
"20387","122.2551_29.9404","122.2551_29.9404",620,122.2551,29.9404
"20388","122.255_29.9403","122.255_29.9403",1581,122.255,29.9403
"20389","122.2552_29.9403","122.2552_29.9403",197,122.2552,29.9403
"20390","122.2552_29.9402","122.2552_29.9402",21,122.2552,29.9402
"20391","122.255_29.9404","122.255_29.9404",336,122.255,29.9404
"20392","122.2552_29.9404","122.2552_29.9404",46,122.2552,29.9404
"20393","122.2535_29.9401","122.2535_29.9401",183,122.2535,29.9401
"20394","122.2535_29.9402","122.2535_29.9402",16,122.2535,29.9402
"20395","122.2534_29.9402","122.2534_29.9402",4,122.2534,29.9402
"20396","122.2534_29.9401","122.2534_29.9401",24,122.2534,29.9401
"20397","122.2535_29.9403","122.2535_29.9403",1,122.2535,29.9403
"20398","122.2536_29.94","122.2536_29.94",1,122.2536,29.94
"20399","122.2519_29.9357","122.2519_29.9357",1,122.2519,29.9357
"20400","122.2468_29.9371","122.2468_29.9371",1,122.2468,29.9371
"20401","122.2536_29.9401","122.2536_29.9401",4,122.2536,29.9401
"20402","122.2548_29.9398","122.2548_29.9398",175,122.2548,29.9398
"20403","122.2548_29.9399","122.2548_29.9399",6,122.2548,29.9399
"20404","122.2549_29.9398","122.2549_29.9398",176,122.2549,29.9398
"20405","122.2549_29.9405","122.2549_29.9405",7,122.2549,29.9405
"20406","122.2549_29.9402","122.2549_29.9402",15,122.2549,29.9402
"20407","122.2553_29.9404","122.2553_29.9404",7,122.2553,29.9404
"20408","122.255_29.9402","122.255_29.9402",75,122.255,29.9402
"20409","122.2551_29.9402","122.2551_29.9402",101,122.2551,29.9402
"20410","122.2549_29.9403","122.2549_29.9403",31,122.2549,29.9403
"20411","122.255_29.9405","122.255_29.9405",17,122.255,29.9405
"20412","122.2551_29.9405","122.2551_29.9405",32,122.2551,29.9405
"20413","122.255_29.9406","122.255_29.9406",3,122.255,29.9406
"20414","122.2552_29.9405","122.2552_29.9405",7,122.2552,29.9405
"20415","122.2553_29.9405","122.2553_29.9405",1,122.2553,29.9405
"20416","122.2549_29.9404","122.2549_29.9404",20,122.2549,29.9404
"20417","122.0232_30.1534","122.0232_30.1534",25,122.0232,30.1534
"20418","122.0232_30.1533","122.0232_30.1533",5,122.0232,30.1533
"20419","122.0233_30.1533","122.0233_30.1533",1,122.0233,30.1533
"20420","122.0231_30.1533","122.0231_30.1533",2,122.0231,30.1533
"20421","122.0232_30.1535","122.0232_30.1535",7,122.0232,30.1535
"20422","122.0504_30.6303","122.0504_30.6303",8,122.0504,30.6303
"20423","122.0507_30.6302","122.0507_30.6302",2,122.0507,30.6302
"20424","122.0506_30.6303","122.0506_30.6303",2,122.0506,30.6303
"20425","122.0504_30.6304","122.0504_30.6304",1,122.0504,30.6304
"20426","122.0507_30.6303","122.0507_30.6303",1,122.0507,30.6303
"20427","121.4628_31.0912","121.4628_31.0912",61,121.4628,31.0912
"20428","121.4628_31.0911","121.4628_31.0911",42,121.4628,31.0911
"20429","121.4629_31.0912","121.4629_31.0912",9,121.4629,31.0912
"20430","121.4629_31.0911","121.4629_31.0911",2,121.4629,31.0911
"20431","121.4628_31.0913","121.4628_31.0913",3,121.4628,31.0913
"20432","121.4627_31.0913","121.4627_31.0913",2,121.4627,31.0913
"20433","121.557_31.323","121.557_31.323",41,121.557,31.323
"20434","121.5569_31.3231","121.5569_31.3231",1593,121.5569,31.3231
"20435","121.557_31.3231","121.557_31.3231",402,121.557,31.3231
"20436","121.5568_31.3231","121.5568_31.3231",3658,121.5568,31.3231
"20437","121.5569_31.323","121.5569_31.323",190,121.5569,31.323
"20438","121.5569_31.3232","121.5569_31.3232",1325,121.5569,31.3232
"20439","121.5568_31.3232","121.5568_31.3232",714,121.5568,31.3232
"20440","121.5571_31.3231","121.5571_31.3231",181,121.5571,31.3231
"20441","121.5572_31.3231","121.5572_31.3231",15,121.5572,31.3231
"20442","121.5571_31.3232","121.5571_31.3232",104,121.5571,31.3232
"20443","121.5568_31.323","121.5568_31.323",159,121.5568,31.323
"20444","121.5567_31.3231","121.5567_31.3231",445,121.5567,31.3231
"20445","121.5567_31.323","121.5567_31.323",80,121.5567,31.323
"20446","121.5566_31.3231","121.5566_31.3231",51,121.5566,31.3231
"20447","121.5566_31.323","121.5566_31.323",60,121.5566,31.323
"20448","121.5572_31.323","121.5572_31.323",6,121.5572,31.323
"20449","121.5571_31.323","121.5571_31.323",17,121.5571,31.323
"20450","121.5567_31.3232","121.5567_31.3232",72,121.5567,31.3232
"20451","121.5565_31.323","121.5565_31.323",4,121.5565,31.323
"20452","121.5565_31.3231","121.5565_31.3231",3,121.5565,31.3231
"20453","121.557_31.3232","121.557_31.3232",207,121.557,31.3232
"20454","121.557_31.3233","121.557_31.3233",45,121.557,31.3233
"20455","121.5568_31.3233","121.5568_31.3233",157,121.5568,31.3233
"20456","121.5568_31.3229","121.5568_31.3229",2,121.5568,31.3229
"20457","121.5569_31.3233","121.5569_31.3233",217,121.5569,31.3233
"20458","121.5828_31.3733","121.5828_31.3733",5,121.5828,31.3733
"20459","121.5768_31.3768","121.5768_31.3768",5,121.5768,31.3768
"20460","121.5811_31.3741","121.5811_31.3741",1,121.5811,31.3741
"20461","121.5812_31.3741","121.5812_31.3741",5,121.5812,31.3741
"20462","121.5812_31.374","121.5812_31.374",1,121.5812,31.374
"20463","121.9224_29.9326","121.9224_29.9326",201,121.9224,29.9326
"20464","121.9223_29.9327","121.9223_29.9327",29,121.9223,29.9327
"20465","121.9224_29.9328","121.9224_29.9328",9,121.9224,29.9328
"20466","121.9224_29.9327","121.9224_29.9327",33,121.9224,29.9327
"20467","121.9223_29.933","121.9223_29.933",1,121.9223,29.933
"20468","121.9246_29.934","121.9246_29.934",293,121.9246,29.934
"20469","121.9297_29.9369","121.9297_29.9369",43,121.9297,29.9369
"20470","121.8643_29.9373","121.8643_29.9373",172,121.8643,29.9373
"20471","121.5715_31.3782","121.5715_31.3782",257,121.5715,31.3782
"20472","121.5715_31.3781","121.5715_31.3781",214,121.5715,31.3781
"20473","121.5716_31.3781","121.5716_31.3781",385,121.5716,31.3781
"20474","121.572_31.3777","121.572_31.3777",1,121.572,31.3777
"20475","121.5717_31.3779","121.5717_31.3779",4,121.5717,31.3779
"20476","121.5716_31.378","121.5716_31.378",59,121.5716,31.378
"20477","121.5714_31.3781","121.5714_31.3781",32,121.5714,31.3781
"20478","121.5716_31.3782","121.5716_31.3782",158,121.5716,31.3782
"20479","121.5714_31.3782","121.5714_31.3782",82,121.5714,31.3782
"20480","121.5714_31.3783","121.5714_31.3783",119,121.5714,31.3783
"20481","121.5715_31.3783","121.5715_31.3783",46,121.5715,31.3783
"20482","121.4996_31.4135","121.4996_31.4135",23,121.4996,31.4135
"20483","121.4997_31.4134","121.4997_31.4134",4895,121.4997,31.4134
"20484","121.4997_31.4135","121.4997_31.4135",340,121.4997,31.4135
"20485","121.4998_31.4135","121.4998_31.4135",61,121.4998,31.4135
"20486","121.4998_31.4134","121.4998_31.4134",51,121.4998,31.4134
"20487","121.4997_31.4133","121.4997_31.4133",610,121.4997,31.4133
"20488","121.4996_31.4134","121.4996_31.4134",13,121.4996,31.4134
"20489","122.0666_30.6181","122.0666_30.6181",83,122.0666,30.6181
"20490","122.0666_30.6182","122.0666_30.6182",101,122.0666,30.6182
"20491","122.0665_30.6182","122.0665_30.6182",101,122.0665,30.6182
"20492","122.0665_30.6181","122.0665_30.6181",21,122.0665,30.6181
"20493","122.0666_30.6183","122.0666_30.6183",10,122.0666,30.6183
"20494","122.0665_30.6183","122.0665_30.6183",4,122.0665,30.6183
"20495","121.4664_31.1295","121.4664_31.1295",320,121.4664,31.1295
"20496","121.4666_31.1278","121.4666_31.1278",2,121.4666,31.1278
"20497","121.4672_31.1287","121.4672_31.1287",20,121.4672,31.1287
"20498","121.4671_31.1287","121.4671_31.1287",7,121.4671,31.1287
"20499","121.4671_31.1286","121.4671_31.1286",7,121.4671,31.1286
"20500","121.4672_31.1271","121.4672_31.1271",20,121.4672,31.1271
"20501","121.4666_31.1289","121.4666_31.1289",22,121.4666,31.1289
"20502","121.4667_31.1289","121.4667_31.1289",26,121.4667,31.1289
"20503","121.4677_31.1245","121.4677_31.1245",7,121.4677,31.1245
